Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712155500474974933,200,615506978,64,901,,1712155500596217000 ,1712155500599200000 ,1712155500599456000 ,1712155500603322000 ,1712155500603827000 ,1712155500607612000 ,1712155501020763000 ,1712155501024343000 ,,2
1712155500465168041,200,666074184,64,901,,1712155500568617000 ,1712155500594466000 ,1712155500595415000 ,1712155500602407000 ,1712155500602647000 ,1712155500606759000 ,1712155501020749000 ,1712155501023510000 ,,1
1712155500454381315,200,718071719,64,901,,1712155500616308000 ,1712155500616466000 ,1712155500616764000 ,1712155500620164000 ,1712155500620547000 ,1712155500623750000 ,1712155501052079000 ,1712155501052848000 ,,0
1712155500484780630,200,759695924,64,901,,1712155500637475000 ,1712155500638947000 ,1712155500639241000 ,1712155500642618000 ,1712155500643037000 ,1712155500646916000 ,1712155501115669000 ,1712155501116326000 ,,3
1712155500504486223,200,778373595,64,901,,1712155500684655000 ,1712155500687844000 ,1712155500688246000 ,1712155500691309000 ,1712155500691960000 ,1712155500697482000 ,1712155501170349000 ,1712155501171319000 ,,5
1712155500494566417,200,849279838,64,901,,1712155500661282000 ,1712155500663358000 ,1712155500663653000 ,1712155500666668000 ,1712155500666995000 ,1712155500670311000 ,1712155501178198000 ,1712155501178992000 ,,4
1712155500574454683,200,901510518,64,901,,1712155500847938000 ,1712155500850919000 ,1712155500851531000 ,1712155500854985000 ,1712155500855455000 ,1712155500860154000 ,1712155501409353000 ,1712155501410398000 ,,12
1712155500514210411,200,961784484,64,901,,1712155500705878000 ,1712155500706837000 ,1712155500707217000 ,1712155500711658000 ,1712155500712299000 ,1712155500716082000 ,1712155501234609000 ,1712155501235211000 ,,6
1712155500524877465,200,951213123,64,901,,1712155500733742000 ,1712155500736220000 ,1712155500737195000 ,1712155500740592000 ,1712155500741117000 ,1712155500745665000 ,1712155501274523000 ,1712155501275890000 ,,7
1712155500534664087,200,941528770,64,901,,1712155500749884000 ,1712155500751532000 ,1712155500751838000 ,1712155500755464000 ,1712155500756377000 ,1712155500763418000 ,1712155501257186000 ,1712155501257786000 ,,8
1712155500555181673,200,1089833827,64,901,,1712155500799146000 ,1712155500801694000 ,1712155500802024000 ,1712155500805484000 ,1712155500806276000 ,1712155500809545000 ,1712155501379336000 ,1712155501380238000 ,,10
1712155500564850371,200,1080250372,64,901,,1712155500825326000 ,1712155500827016000 ,1712155500827489000 ,1712155500829988000 ,1712155500830577000 ,1712155500834436000 ,1712155501370457000 ,1712155501371084000 ,,11
1712155500544391396,200,1104123850,64,901,,1712155500775804000 ,1712155500776774000 ,1712155500777670000 ,1712155500781721000 ,1712155500781951000 ,1712155500785722000 ,1712155501344534000 ,1712155501345091000 ,,9
1712155500584228930,200,1151101771,64,901,,1712155500876956000 ,1712155500879259000 ,1712155500892424000 ,1712155500895839000 ,1712155500896791000 ,1712155500901423000 ,1712155501535035000 ,1712155501536540000 ,,13
