Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712150423481404661,200,401268779,62,802,,1712150423576376000 ,1712150423576940000 ,1712150423577244000 ,1712150423595070000 ,1712150423595204000 ,1712150423598599000 ,1712150423841017000 ,1712150423843721000 ,,1
1712150423491147960,200,391813795,62,802,,1712150423587002000 ,1712150423587106000 ,1712150423587370000 ,1712150423594897000 ,1712150423595262000 ,1712150423598770000 ,1712150423845710000 ,1712150423846340000 ,,2
1712150423470570790,200,520712996,62,802,,1712150423601059000 ,1712150423602188000 ,1712150423602606000 ,1712150423605309000 ,1712150423605595000 ,1712150423608438000 ,1712150423882126000 ,1712150423883263000 ,,0
1712150423510397249,200,482461063,62,802,,1712150423641428000 ,1712150423641569000 ,1712150423641952000 ,1712150423649076000 ,1712150423649720000 ,1712150423655653000 ,1712150423888662000 ,1712150423889237000 ,,4
1712150423500885798,200,492064122,62,802,,1712150423619109000 ,1712150423620194000 ,1712150423620482000 ,1712150423623988000 ,1712150423624617000 ,1712150423627744000 ,1712150423891027000 ,1712150423891682000 ,,3
1712150423530645873,200,517640723,62,802,,1712150423688494000 ,1712150423689168000 ,1712150423690061000 ,1712150423693550000 ,1712150423693806000 ,1712150423697499000 ,1712150423948618000 ,1712150423949254000 ,,6
1712150423521081874,200,527309800,62,802,,1712150423667279000 ,1712150423667848000 ,1712150423668194000 ,1712150423671324000 ,1712150423671765000 ,1712150423675078000 ,1712150423947697000 ,1712150423948377000 ,,5
1712150423560860642,200,661492300,62,802,,1712150423749629000 ,1712150423750836000 ,1712150423751213000 ,1712150423754701000 ,1712150423754832000 ,1712150423758361000 ,1712150424041789000 ,1712150424042363000 ,,9
1712150423570652101,200,651701277,62,802,,1712150423768594000 ,1712150423769105000 ,1712150423769478000 ,1712150423773042000 ,1712150423773179000 ,1712150423775951000 ,1712150424082184000 ,1712150424083160000 ,,10
1712150423541213939,200,681184018,62,802,,1712150423709044000 ,1712150423709586000 ,1712150423710067000 ,1712150423713263000 ,1712150423713864000 ,1712150423717113000 ,1712150423988306000 ,1712150423989081000 ,,7
1712150423591271819,200,631137952,62,802,,1712150423824460000 ,1712150423825744000 ,1712150423830158000 ,1712150423833259000 ,1712150423833648000 ,1712150423837346000 ,1712150424146320000 ,1712150424146995000 ,,12
1712150423550914627,200,671525934,62,802,,1712150423731460000 ,1712150423732194000 ,1712150423732498000 ,1712150423735878000 ,1712150423736045000 ,1712150423739518000 ,1712150424024646000 ,1712150424025225000 ,,8
