Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712160297586803911,200,458079803,71,849,,1712160297710289000 ,1712160297710366000 ,1712160297710533000 ,1712160297729298000 ,1712160297730048000 ,1712160297733893000 ,1712160297935404000 ,1712160297937261000 ,,1
1712160297591606076,200,453541534,71,849,,1712160297737753000 ,1712160297737816000 ,1712160297737983000 ,1712160297741916000 ,1712160297742487000 ,1712160297745203000 ,1712160297964670000 ,1712160297965140000 ,,2
1712160297580944298,200,520117655,71,849,,1712160297759426000 ,1712160297759471000 ,1712160297759615000 ,1712160297764239000 ,1712160297764406000 ,1712160297767653000 ,1712160297987792000 ,1712160297988806000 ,,0
1712160297596352908,200,549095603,71,849,,1712160297785907000 ,1712160297786022000 ,1712160297786193000 ,1712160297790376000 ,1712160297790701000 ,1712160297794469000 ,1712160298047052000 ,1712160298048433000 ,,3
1712160297601064279,200,544477670,71,849,,1712160297814036000 ,1712160297814135000 ,1712160297814280000 ,1712160297817841000 ,1712160297818625000 ,1712160297822132000 ,1712160298058916000 ,1712160298059814000 ,,4
1712160297606756429,200,562220259,71,849,,1712160297838973000 ,1712160297839015000 ,1712160297839150000 ,1712160297843271000 ,1712160297843954000 ,1712160297847600000 ,1712160298081242000 ,1712160298082078000 ,,5
1712160297611459482,200,664498063,71,849,,1712160297861114000 ,1712160297861204000 ,1712160297861349000 ,1712160297864330000 ,1712160297864619000 ,1712160297867815000 ,1712160298117540000 ,1712160298118451000 ,,6
1712160297616168964,200,696477065,71,849,,1712160297882178000 ,1712160297882239000 ,1712160297882397000 ,1712160297886621000 ,1712160297887388000 ,1712160297892687000 ,1712160298174513000 ,1712160298176101000 ,,7
1712160297620885765,200,717384689,71,849,,1712160297910333000 ,1712160297910380000 ,1712160297910549000 ,1712160297914624000 ,1712160297915130000 ,1712160297919520000 ,1712160298185049000 ,1712160298185781000 ,,8
1712160297631608152,200,706800340,71,849,,1712160297954065000 ,1712160297954117000 ,1712160297954337000 ,1712160297961980000 ,1712160297965328000 ,1712160297972421000 ,1712160298245284000 ,1712160298245922000 ,,10
1712160297626779888,200,712594852,71,849,,1712160297937791000 ,1712160297937861000 ,1712160297938165000 ,1712160297942933000 ,1712160297943217000 ,1712160297948413000 ,1712160298224544000 ,1712160298225153000 ,,9
1712160297636358794,200,799542212,71,849,,1712160297974201000 ,1712160297974253000 ,1712160297974417000 ,1712160297977659000 ,1712160297978373000 ,1712160297981211000 ,1712160298279361000 ,1712160298280069000 ,,11
1712160297646718743,200,789242572,71,849,,1712160298008379000 ,1712160298008433000 ,1712160298008621000 ,1712160298013343000 ,1712160298013543000 ,1712160298017009000 ,1712160298316117000 ,1712160298317305000 ,,13
1712160297641037686,200,899358156,71,849,,1712160297994136000 ,1712160297994220000 ,1712160297994393000 ,1712160297997865000 ,1712160297998297000 ,1712160298002420000 ,1712160298322419000 ,1712160298323007000 ,,12
1712160297676213707,200,864188546,71,849,,1712160298044996000 ,1712160298045054000 ,1712160298045446000 ,1712160298056704000 ,1712160298057022000 ,1712160298064170000 ,1712160298367873000 ,1712160298368629000 ,,19
