Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712566359897045627,200,321395540,67,849,,1712566360013646000 ,1712566360013712000 ,1712566360013842000 ,1712566360030569000 ,1712566360030656000 ,1712566360035167000 ,1712566360164272000 ,1712566360174746000 ,,1
1712566359891198150,200,327375201,67,849,,1712566360031055000 ,1712566360031099000 ,1712566360031263000 ,1712566360034459000 ,1712566360034567000 ,1712566360037866000 ,1712566360158361000 ,1712566360174597000 ,,0
1712566359901854098,200,337996144,67,849,,1712566360049128000 ,1712566360049175000 ,1712566360049436000 ,1712566360052655000 ,1712566360052766000 ,1712566360056345000 ,1712566360190028000 ,1712566360190581000 ,,2
1712566359906525234,200,367101136,67,849,,1712566360066663000 ,1712566360066723000 ,1712566360066882000 ,1712566360071048000 ,1712566360071159000 ,1712566360075605000 ,1712566360206589000 ,1712566360207359000 ,,3
1712566359911289891,200,412432448,67,849,,1712566360087238000 ,1712566360087318000 ,1712566360087483000 ,1712566360091727000 ,1712566360091882000 ,1712566360096621000 ,1712566360236366000 ,1712566360236969000 ,,4
1712566359916917805,200,422104716,67,849,,1712566360120359000 ,1712566360120474000 ,1712566360120682000 ,1712566360126113000 ,1712566360126351000 ,1712566360132248000 ,1712566360257846000 ,1712566360258906000 ,,5
1712566359921661552,200,449972764,67,849,,1712566360167982000 ,1712566360168061000 ,1712566360168350000 ,1712566360181675000 ,1712566360181828000 ,1712566360186823000 ,1712566360316066000 ,1712566360316840000 ,,6
1712566359926241547,200,445615212,67,849,,1712566360181251000 ,1712566360181306000 ,1712566360181472000 ,1712566360184686000 ,1712566360184792000 ,1712566360188891000 ,1712566360316907000 ,1712566360317531000 ,,7
1712566359931856737,200,492420457,67,849,,1712566360194243000 ,1712566360194300000 ,1712566360194455000 ,1712566360197738000 ,1712566360197842000 ,1712566360202150000 ,1712566360343615000 ,1712566360344346000 ,,8
1712566359936724408,200,487623486,67,849,,1712566360205520000 ,1712566360205589000 ,1712566360205761000 ,1712566360209226000 ,1712566360209331000 ,1712566360213862000 ,1712566360352761000 ,1712566360353437000 ,,9
1712566359961737765,200,513832637,67,849,,1712566360217318000 ,1712566360217363000 ,1712566360218338000 ,1712566360223219000 ,1712566360223425000 ,1712566360231236000 ,1712566360383309000 ,1712566360384322000 ,,14
1712566359941507119,200,534063082,67,849,,1712566360217235000 ,1712566360217613000 ,1712566360217827000 ,1712566360223626000 ,1712566360223941000 ,1712566360232054000 ,1712566360368588000 ,1712566360369237000 ,,10
1712566359966797523,200,508848257,67,849,,1712566360217294000 ,1712566360217475000 ,1712566360219041000 ,1712566360223408000 ,1712566360223556000 ,1712566360231429000 ,1712566360393036000 ,1712566360394024000 ,,15
1712566359976197888,200,528676015,67,849,,1712566360238993000 ,1712566360239032000 ,1712566360239335000 ,1712566360244383000 ,1712566360244755000 ,1712566360250199000 ,1712566360405992000 ,1712566360407189000 ,,17
1712566359946071614,200,558841700,67,849,,1712566360238961000 ,1712566360239114000 ,1712566360239416000 ,1712566360245195000 ,1712566360245290000 ,1712566360248979000 ,1712566360401922000 ,1712566360402635000 ,,11
1712566359951649345,200,553299947,67,849,,1712566360254478000 ,1712566360254536000 ,1712566360254700000 ,1712566360263827000 ,1712566360263938000 ,1712566360268319000 ,1712566360418994000 ,1712566360419609000 ,,12
1712566359956094169,200,595944378,67,849,,1712566360272257000 ,1712566360272319000 ,1712566360272483000 ,1712566360276223000 ,1712566360276337000 ,1712566360282274000 ,1712566360446387000 ,1712566360447112000 ,,13
1712566359991391173,200,560717723,67,849,,1712566360272408000 ,1712566360272452000 ,1712566360273062000 ,1712566360277209000 ,1712566360277528000 ,1712566360284082000 ,1712566360432964000 ,1712566360433865000 ,,20
1712566359971540961,200,646688514,67,849,,1712566360297302000 ,1712566360297366000 ,1712566360297520000 ,1712566360304412000 ,1712566360304551000 ,1712566360309231000 ,1712566360459159000 ,1712566360460297000 ,,16
1712566360006426033,200,611862053,67,849,,1712566360324017000 ,1712566360324053000 ,1712566360324298000 ,1712566360328294000 ,1712566360328511000 ,1712566360334397000 ,1712566360493675000 ,1712566360494401000 ,,23
1712566359981829484,200,636484350,67,849,,1712566360323664000 ,1712566360323983000 ,1712566360324342000 ,1712566360328753000 ,1712566360328876000 ,1712566360333788000 ,1712566360481424000 ,1712566360482650000 ,,18
1712566359986670040,200,741545697,67,849,,1712566360337686000 ,1712566360337725000 ,1712566360338074000 ,1712566360350295000 ,1712566360350550000 ,1712566360358749000 ,1712566360512190000 ,1712566360512767000 ,,19
1712566360031435426,200,696944987,67,849,,1712566360370391000 ,1712566360370456000 ,1712566360373503000 ,1712566360387137000 ,1712566360387245000 ,1712566360394099000 ,1712566360576583000 ,1712566360581317000 ,,28
1712566360011282724,200,717104285,67,849,,1712566360403094000 ,1712566360403581000 ,1712566360403817000 ,1712566360414814000 ,1712566360414897000 ,1712566360419482000 ,1712566360573277000 ,1712566360573936000 ,,24
1712566360001710450,200,726677819,67,849,,1712566360381497000 ,1712566360381669000 ,1712566360381818000 ,1712566360395380000 ,1712566360395642000 ,1712566360414782000 ,1712566360595212000 ,1712566360595886000 ,,22
1712566360036424235,200,691964179,67,849,,1712566360373030000 ,1712566360373571000 ,1712566360381101000 ,1712566360387624000 ,1712566360388113000 ,1712566360393489000 ,1712566360583157000 ,1712566360584347000 ,,29
1712566360017026882,200,711363417,67,849,,1712566360338741000 ,1712566360338840000 ,1712566360339218000 ,1712566360342546000 ,1712566360342804000 ,1712566360347620000 ,1712566360498594000 ,1712566360499199000 ,,25
1712566359997000302,200,731418072,67,849,,1712566360355803000 ,1712566360369571000 ,1712566360369753000 ,1712566360393787000 ,1712566360393880000 ,1712566360417827000 ,1712566360574409000 ,1712566360575220000 ,,21
1712566360021722029,200,734277822,67,849,,1712566360423160000 ,1712566360423196000 ,1712566360423360000 ,1712566360440114000 ,1712566360440216000 ,1712566360447656000 ,1712566360606991000 ,1712566360608015000 ,,26
1712566360051483835,200,704726064,67,849,,1712566360423376000 ,1712566360423433000 ,1712566360425097000 ,1712566360427840000 ,1712566360428054000 ,1712566360431930000 ,1712566360601882000 ,1712566360602546000 ,,32
1712566360056247371,200,699967365,67,849,,1712566360423933000 ,1712566360424367000 ,1712566360425369000 ,1712566360430467000 ,1712566360430616000 ,1712566360439232000 ,1712566360600865000 ,1712566360602057000 ,,33
1712566360026606019,200,760705551,67,849,,1712566360455988000 ,1712566360457414000 ,1712566360458033000 ,1712566360461019000 ,1712566360461140000 ,1712566360467586000 ,1712566360649864000 ,1712566360650476000 ,,27
1712566360041384159,200,746033165,67,849,,1712566360475012000 ,1712566360475082000 ,1712566360476676000 ,1712566360479826000 ,1712566360479926000 ,1712566360485483000 ,1712566360635487000 ,1712566360636208000 ,,30
1712566360091079603,200,744282306,67,849,,1712566360503664000 ,1712566360503722000 ,1712566360507374000 ,1712566360529991000 ,1712566360530696000 ,1712566360541774000 ,1712566360695519000 ,1712566360696197000 ,,40
1712566360071428615,200,764364058,67,849,,1712566360473062000 ,1712566360473122000 ,1712566360473475000 ,1712566360495353000 ,1712566360495734000 ,1712566360518829000 ,1712566360692773000 ,1712566360694667000 ,,36
1712566360076297464,200,788053525,67,849,,1712566360485565000 ,1712566360485632000 ,1712566360485928000 ,1712566360492954000 ,1712566360495539000 ,1712566360503501000 ,1712566360681069000 ,1712566360681736000 ,,37
1712566360081206331,200,783230767,67,849,,1712566360474382000 ,1712566360474417000 ,1712566360485828000 ,1712566360496068000 ,1712566360497123000 ,1712566360542476000 ,1712566360697134000 ,1712566360698012000 ,,38
1712566360096806067,200,767810758,67,849,,1712566360503130000 ,1712566360503430000 ,1712566360504249000 ,1712566360525279000 ,1712566360525523000 ,1712566360540091000 ,1712566360724042000 ,1712566360724817000 ,,41
1712566360061886487,200,803269662,67,849,,1712566360555496000 ,1712566360555608000 ,1712566360555954000 ,1712566360559015000 ,1712566360559226000 ,1712566360563085000 ,1712566360723771000 ,1712566360724607000 ,,34
1712566360111365406,200,753790778,67,849,,1712566360553656000 ,1712566360565941000 ,1712566360566500000 ,1712566360572594000 ,1712566360574850000 ,1712566360599956000 ,1712566360739694000 ,1712566360741117000 ,,44
1712566360116695718,200,848965822,67,849,,1712566360548866000 ,1712566360548913000 ,1712566360549256000 ,1712566360569498000 ,1712566360572993000 ,1712566360587462000 ,1712566360753743000 ,1712566360755060000 ,,45
1712566360105129000,200,860566577,67,849,,1712566360503719000 ,1712566360503769000 ,1712566360504348000 ,1712566360527953000 ,1712566360528600000 ,1712566360542244000 ,1712566360715365000 ,1712566360716538000 ,,42
1712566360171298209,200,795128887,67,849,,1712566360706354000 ,1712566360706397000 ,1712566360706684000 ,1712566360734813000 ,1712566360736841000 ,1712566360766280000 ,1712566360929834000 ,1712566360933147000 ,,56
1712566360046681197,200,919803589,67,849,,1712566360505504000 ,1712566360505801000 ,1712566360506317000 ,1712566360601731000 ,1712566360601895000 ,1712566360615048000 ,1712566360761339000 ,1712566360761969000 ,,31
1712566360221946312,200,748619375,67,849,,1712566360706503000 ,1712566360706607000 ,1712566360715114000 ,1712566360726124000 ,1712566360727191000 ,1712566360754961000 ,1712566360926527000 ,1712566360929976000 ,,66
1712566360066682592,200,966695860,67,849,,1712566360599287000 ,1712566360599352000 ,1712566360599518000 ,1712566360612314000 ,1712566360612580000 ,1712566360617569000 ,1712566360773251000 ,1712566360773974000 ,,35
1712566360087088001,200,946927937,67,849,,1712566360617909000 ,1712566360622757000 ,1712566360622990000 ,1712566360651897000 ,1712566360652042000 ,1712566360677138000 ,1712566360820402000 ,1712566360821019000 ,,39
1712566360132061054,200,902101317,67,849,,1712566360617267000 ,1712566360617399000 ,1712566360617748000 ,1712566360636980000 ,1712566360637781000 ,1712566360647114000 ,1712566360800038000 ,1712566360802405000 ,,48
1712566360136380709,200,897786288,67,849,,1712566360625553000 ,1712566360625591000 ,1712566360625876000 ,1712566360632021000 ,1712566360632945000 ,1712566360648385000 ,1712566360824091000 ,1712566360832813000 ,,49
1712566360141837304,200,943648439,67,849,,1712566360625570000 ,1712566360625612000 ,1712566360625897000 ,1712566360634963000 ,1712566360637853000 ,1712566360665472000 ,1712566360823908000 ,1712566360832683000 ,,50
1712566360152002178,200,933488341,67,849,,1712566360675877000 ,1712566360676050000 ,1712566360676355000 ,1712566360683133000 ,1712566360683280000 ,1712566360693294000 ,1712566360852450000 ,1712566360853688000 ,,52
1712566360226144241,200,891859310,67,849,,1712566360706352000 ,1712566360706397000 ,1712566360706795000 ,1712566360709860000 ,1712566360709990000 ,1712566360713096000 ,1712566360873074000 ,1712566360873641000 ,,67
1712566360176393506,200,941918836,67,849,,1712566360706343000 ,1712566360706397000 ,1712566360714847000 ,1712566360737007000 ,1712566360737525000 ,1712566360779760000 ,1712566360960684000 ,1712566360961331000 ,,57
1712566360106231764,200,1012124775,67,849,,1712566360682063000 ,1712566360683229000 ,1712566360683420000 ,1712566360686263000 ,1712566360686391000 ,1712566360735474000 ,1712566360898656000 ,1712566360899516000 ,,43
1712566360166210291,200,952189180,67,849,,1712566360713510000 ,1712566360714186000 ,1712566360715152000 ,1712566360725043000 ,1712566360725165000 ,1712566360746072000 ,1712566360921135000 ,1712566360921732000 ,,55
1712566360157080284,200,961584511,67,849,,1712566360679555000 ,1712566360679596000 ,1712566360680036000 ,1712566360689439000 ,1712566360689732000 ,1712566360739847000 ,1712566360900030000 ,1712566360901169000 ,,53
